epoch,loss,recon_loss,kl_loss,lr,time_seconds
1,0.074801,0.074800,0.49953410,0.00009998,339.17
2,0.053375,0.053375,0.74032541,0.00009990,337.98
3,0.041780,0.041779,1.15788458,0.00009978,336.56
4,0.034499,0.034497,1.49019237,0.00009961,337.14
5,0.030110,0.030108,1.75529066,0.00009939,339.59
6,0.027025,0.027023,1.97758707,0.00009912,338.96
7,0.024715,0.024713,2.15887772,0.00009881,339.52
8,0.022872,0.022870,2.32040956,0.00009844,339.51
9,0.021380,0.021378,2.47033378,0.00009803,337.52
10,0.020125,0.020122,2.58944233,0.00009758,336.73
11,0.019077,0.019075,2.71184086,0.00009707,340.15
12,0.018130,0.018127,2.82709350,0.00009652,339.94
13,0.017330,0.017327,2.94311296,0.00009593,339.95
14,0.016535,0.016532,3.05673325,0.00009529,340.20
15,0.015841,0.015837,3.16620061,0.00009460,340.31
16,0.015252,0.015248,3.27152620,0.00009388,334.97
17,0.014660,0.014657,3.36613179,0.00009311,339.88
18,0.014117,0.014113,3.45987764,0.00009229,339.54
19,0.013674,0.013671,3.55617478,0.00009144,339.74
20,0.013206,0.013202,3.64352639,0.00009055,339.54
21,0.012786,0.012782,3.72478444,0.00008961,339.90
22,0.012452,0.012448,3.81408929,0.00008864,337.42
23,0.011984,0.011980,3.90739044,0.00008763,336.90
24,0.011742,0.011738,3.98134634,0.00008658,339.62
25,0.011501,0.011497,4.06131587,0.00008550,339.80
26,0.011146,0.011142,4.14272781,0.00008439,339.50
27,0.010880,0.010875,4.21521756,0.00008323,339.97
28,0.010590,0.010586,4.29702627,0.00008205,340.05
29,0.010409,0.010404,4.36630482,0.00008084,335.62
30,0.010155,0.010151,4.43441872,0.00007960,340.14
31,0.009953,0.009949,4.50959727,0.00007832,339.81
32,0.009714,0.009710,4.56653295,0.00007702,339.95
33,0.009578,0.009573,4.63754189,0.00007570,339.35
34,0.009390,0.009385,4.69577846,0.00007435,340.01
35,0.009182,0.009178,4.75247738,0.00007297,337.07
36,0.009045,0.009040,4.81277163,0.00007158,337.66
37,0.008933,0.008928,4.86411037,0.00007016,339.39
38,0.008739,0.008734,4.91592807,0.00006872,339.65
39,0.008605,0.008600,4.96332512,0.00006727,339.61
40,0.008488,0.008483,5.00344634,0.00006580,340.18
41,0.008347,0.008342,5.04644492,0.00006431,339.56
42,0.008251,0.008246,5.08754320,0.00006281,335.18
43,0.008086,0.008080,5.12125788,0.00006130,339.51
44,0.007975,0.007970,5.16070800,0.00005978,339.60
45,0.007884,0.007879,5.19928499,0.00005824,339.84
46,0.007818,0.007813,5.21743828,0.00005670,339.69
47,0.007700,0.007694,5.24689517,0.00005516,339.42
48,0.007609,0.007603,5.28532000,0.00005361,339.39
49,0.007485,0.007480,5.31829785,0.00005205,334.60
50,0.007423,0.007417,5.35516369,0.00005050,340.08
51,0.007372,0.007367,5.37918867,0.00004895,339.94
52,0.007279,0.007274,5.39640615,0.00004739,339.40
53,0.007190,0.007185,5.40731488,0.00004584,339.51
54,0.007118,0.007113,5.42959934,0.00004430,340.03
55,0.007067,0.007062,5.45550375,0.00004276,337.40
56,0.006989,0.006984,5.47688558,0.00004122,337.75
57,0.006925,0.006919,5.48736797,0.00003970,339.55
58,0.006866,0.006860,5.51546215,0.00003819,340.14
59,0.006789,0.006783,5.52250969,0.00003669,339.74
60,0.006742,0.006737,5.53565775,0.00003520,339.52
61,0.006697,0.006692,5.54643465,0.00003373,339.46
62,0.006637,0.006632,5.55269064,0.00003228,335.50
63,0.006592,0.006586,5.56348323,0.00003084,339.90
64,0.006551,0.006546,5.57626922,0.00002942,339.86
65,0.006461,0.006455,5.58210600,0.00002803,216.39
66,0.006476,0.006470,5.59129662,0.00002665,205.76
67,0.006400,0.006394,5.59970531,0.00002530,289.88
68,0.006357,0.006352,5.59883702,0.00002398,289.91
69,0.006310,0.006304,5.60780299,0.00002268,284.76
70,0.006289,0.006283,5.61269581,0.00002140,290.06
71,0.006255,0.006250,5.61761245,0.00002016,283.90
72,0.006215,0.006209,5.62636124,0.00001895,290.60
